SNO,MAJOR_CODE,SUBJECT_PER_SEM,SUB1,SUB2,SUB3,SUB4,SUB5,SUB6,SUB7,SUB8,SUB9,SUB10,SUB11,SUB12,SUB13,SUB14,SUB15,SUB16,SUB17,SUB18,SUB19,SUB20,SUB21,SUB22,SUB23,SUB24,SUB25,SUB26,SUB27,SUB28,SUB29,SUB30,SUB31,SUB32,SUB33,SUB34,SUB35,SUB36,SUB37,SUB38,SUB39,SUB40,SUB41,SUB42,SUB43,SUB44,SUB45,SUB46,SUB47,SUB48,SUB49,SUB50,SUB51,SUB52,SUB53,SUB54,SUB55,SUB56,SUB57,SUB58,SUB59,SUB60
1,19CS0,  1  7 13,16P3CS01,16P3CS02,18P3CS03,18P3CS04,18P3CSPA,18P3CSPB,17P3CS05,18P3CS06,16P3CS07,18P3CS08,16P3CSPC,18P3CSPD,18P3CS09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,18CS0,  1  8 17,20U1TM01,16U2EN01,08UACS03,10UACS02,11UBMA51,15UACSPA,17U4HE01,19U1TM02,16U2EN02,21UACS03,16UACS05,11UBMA52,10UACSPB,17U4HE02,13U4HEP1,19U4FN01,21UACS05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
